名称,地址,经度,纬度,电话,类型,高德POI ID,所在省,所在市,所在区
水西门鸭子店(汉口路73号小区店),汉口路73号汉口路73号小区,118.778087,32.053811,18552269798,餐饮服务;餐饮相关场所;餐饮相关,B0IGMD4VA0,江苏省,南京市,鼓楼区
宝珠奶酪(金鹰购物中心店),珠江路金鹰南区一楼(珠江路地铁站出入口旁),118.784965,32.050654,18851121084,餐饮服务;冷饮店;冷饮店,B0H0T7OJOQ,江苏省,南京市,玄武区
沙县小吃(南大店),汉口路40-7号,118.778214,32.053989,18752023233;19941534156,餐饮服务;中餐厅;特色/地方风味餐厅,B00190B9YO,江苏省,南京市,鼓楼区
凡几咖啡(汉口路店),汉口路40-8号,118.778238,32.054039,17361976950,餐饮服务;咖啡厅;咖啡厅,B0FFHJLZAV,江苏省,南京市,鼓楼区
蟹员外蟹黄面(珠江路店),珠江路2号及及广场1层,118.784641,32.050090,13655160908;17312238797,餐饮服务;中餐厅;中餐厅,B0HKXDS3YR,江苏省,南京市,玄武区
陈大红盐城鸡蛋饼(吉兆营店),唱经楼西街7号吉兆花园,118.785315,32.052321,[],餐饮服务;餐饮相关场所;餐饮相关,B0L1KCULGH,江苏省,南京市,玄武区
三两三川渝冒肚(玄武店),中山路210号,118.784317,32.049694,18951930086,餐饮服务;中餐厅;中餐厅,B0JKDH2FKZ,江苏省,南京市,玄武区
三两三川渝冒肚(玄武店),中山路210号,118.784317,32.049694,18951930086,餐饮服务;中餐厅;中餐厅,B0JKDH2FKZ,江苏省,南京市,玄武区
Tims天好咖啡(鼓楼医院店),中山路321号鼓楼医院1F,118.783034,32.055085,025-86601330,餐饮服务;咖啡厅;咖啡厅,B0J1954REV,江苏省,南京市,鼓楼区
翠香阁潮州菜馆(珠江路店),中山路200号中山大厦1层,118.784320,32.049627,025-83603038;025-83603108;13913936998,餐饮服务;中餐厅;潮州菜,B001905FZT,江苏省,南京市,玄武区
金麦笼大包坊(汉口路店),汉口路48-1号东单元102室,118.778042,32.053993,13611595941;15996222776,餐饮服务;餐饮相关场所;餐饮相关,B001911LER,江苏省,南京市,鼓楼区
喜茶(南京金鹰珠江路店),珠江路1号金鹰购物中心F1037号商铺,118.785051,32.050443,025-86715535,餐饮服务;冷饮店;冷饮店,B0G3DR4CB1,江苏省,南京市,玄武区
三娃西安特色面馆(吉兆花园店),吉兆营吉兆花园8栋109室(吉兆营清真寺对面),118.785468,32.052324,13770327304,餐饮服务;中餐厅;特色/地方风味餐厅,B0FFGCB4FO,江苏省,南京市,玄武区
冷饮批发(豆菜桥22-1号院店),豆菜桥与干河沿前街,118.779631,32.048810,13813870084,餐饮服务;冷饮店;冷饮店|购物服务;购物相关场所;购物相关场所,B0FFH2IWC2,江苏省,南京市,鼓楼区
东和水吧(吉兆营店),唱经楼西街7号吉兆花园,118.785516,32.052322,[],餐饮服务;冷饮店;冷饮店,B0FFGZP9TM,江苏省,南京市,玄武区
宜宾燃面(青岛路店),名人花园南2门旁,118.777906,32.053993,13072527682,餐饮服务;中餐厅;中餐厅,B0LBFHXHKA,江苏省,南京市,鼓楼区
好利来(珠江路金鹰店),珠江路1号金鹰购物中心店一层A01-00324铺位,118.785143,32.050424,025-86600689,餐饮服务;糕饼店;糕饼店,B0H0K6HRYK,江苏省,南京市,玄武区
麦当劳(南京中山餐厅),珠江路4号南京中山大厦1层,118.784969,32.050064,025-83359770;4008517517,餐饮服务;快餐厅;麦当劳,B00190ABIQ,江苏省,南京市,玄武区
老娘舅(南京珠江路金鹰天地店),珠江路金鹰天地地下2层,118.784338,32.049394,025-88816127,餐饮服务;中餐厅;中餐厅,B0FFH71U8B,江苏省,南京市,玄武区
Costa Coffee(南京珠江路金鹰店),珠江路1号金鹰天地1楼(近同仁街),118.785437,32.050649,025-83627097,餐饮服务;咖啡厅;咖啡厅,B001911PTV,江苏省,南京市,玄武区
哈欠咖啡YAWN COFFEE(南大店),汉口路48-1号101室,118.777716,32.054026,17384435778,餐饮服务;咖啡厅;咖啡厅,B0FFHLTXED,江苏省,南京市,鼓楼区
中山大厦熟食外卖,中山路200号中山大厦入口西侧(近地铁珠江路站),118.785115,32.050070,025-83361888,餐饮服务;中餐厅;中餐厅,B0019135L0,江苏省,南京市,玄武区
港师傅·菠萝包(南京丹凤街店),唱经楼西街7号105室,118.785723,32.052664,18665241340,餐饮服务;快餐厅;快餐厅,B0I27MMQZD,江苏省,南京市,玄武区
皆道拌麻辣烫(吉兆花园店),丹凤街吉兆花园9-3号,118.785811,32.052454,15722927830,餐饮服务;快餐厅;快餐厅,B0FFKGF1KY,江苏省,南京市,玄武区
FLYING FISH COFFEE飞鱼咖啡,同仁西街16-11号(饮渡杂货铺旁),118.785910,32.051548,13776411393,餐饮服务;咖啡厅;咖啡厅,B0GKXHFQU4,江苏省,南京市,玄武区
天源鸭血粉丝汤(广州路店),广州路13213号,118.777184,32.050370,13701473046,餐饮服务;中餐厅;中餐厅,B0FFF8PFUR,江苏省,南京市,鼓楼区
大脸鸡排(新世界百货珠江路创业大街店),珠江路4-1号(珠江路地铁站4号口步行210米),118.785367,32.050061,17798552911,餐饮服务;餐饮相关场所;餐饮相关,B001911R0T,江苏省,南京市,玄武区
兰州拉麺,同仁小学西门南50米(珠江路地铁站3号口步行220米),118.785936,32.051470,19852839293,餐饮服务;中餐厅;清真菜馆,B0LAHDH6P7,江苏省,南京市,玄武区
桂皖小吃,同仁西街16-6号(珠江路地铁站3号口步行220米),118.785951,32.051560,15380843252,餐饮服务;中餐厅;中餐厅,B0KG0ZENPW,江苏省,南京市,玄武区
秀芳早点(都司巷店),吉兆营7号(珠江路地铁站3号口步行230米),118.785978,32.052343,13105474833,餐饮服务;快餐厅;快餐厅,B0FFMCL48H,江苏省,南京市,玄武区
韵味居湘菜馆(新世界百货珠江路创业大街店),新街口街道同仁西街16-1号(金鹰天地后),118.785928,32.051302,025-83216579,餐饮服务;中餐厅;湖南菜(湘菜),B00190CZDS,江苏省,南京市,玄武区
凡几COFFEE(同仁西街店),同仁西街16-9号(珠江路地铁站3号口步行260米),118.785978,32.051500,18852022395,餐饮服务;餐饮相关场所;餐饮相关,B0JG6MIJLM,江苏省,南京市,玄武区
凡几COFFEE(同仁西街店),同仁西街16-9号(珠江路地铁站3号口步行260米),118.785978,32.051500,18852022395,餐饮服务;餐饮相关场所;餐饮相关,B0JG6MIJLM,江苏省,南京市,玄武区
老头盖浇饭(珠江路店),同仁西街16一7号(珠江路地铁站3号口步行220米),118.785986,32.051469,025-57718177;13912995185;18112936182,餐饮服务;中餐厅;中餐厅,B00190ZHP8,江苏省,南京市,玄武区
冉姐家藕粉八宝粥冰粉,珠江路6号(中山大厦旁边),118.785419,32.050017,18589710095,餐饮服务;中餐厅;中餐厅,B0J6PDUFD1,江苏省,南京市,玄武区
老地方菜馆,同仁西街16号-4(珠江路地铁站3号口步行220米),118.785990,32.051416,18625171868,餐饮服务;中餐厅;中餐厅,B001909HCG,江苏省,南京市,玄武区
张府园大碗面(中山大厦),珠江路6号(珠江路地铁站1号口步行200米),118.785475,32.050025,13709439275,餐饮服务;餐饮相关场所;餐饮相关,B0LBZMOG8J,江苏省,南京市,玄武区
安庆馄饨凡华小吃(豆菜桥4号小区店),豆菜桥4号豆菜桥4号小区,118.779945,32.048163,13399550997;13611576389,餐饮服务;中餐厅;中餐厅,B001912FQ3,江苏省,南京市,鼓楼区
鸭血粉丝汤,中山路246号(珠江路地铁站3号口步行240米),118.786080,32.052331,18851694058,餐饮服务;中餐厅;中餐厅,B0H1CL5D2P,江苏省,南京市,玄武区
老马炸串(吉兆花园店),唱经楼西街7号吉兆花园,118.786118,32.052344,[],餐饮服务;餐饮相关场所;餐饮相关,B0JARX0KQM,江苏省,南京市,玄武区
大米先生(珠江路店),珠江路10-12号,118.785540,32.050019,17323893287,餐饮服务;快餐厅;快餐厅,B0L30AKFU1,江苏省,南京市,玄武区
舔指龙虾(广州路店),广州路与青岛路交叉口西120米,118.776966,32.050405,13022599531,餐饮服务;中餐厅;海鲜酒楼,B0JU1XRUY6,江苏省,南京市,鼓楼区
哈尔滨水饺(吉兆花园店),唱经楼西街7号吉兆花园,118.786129,32.052312,15380423789,餐饮服务;中餐厅;中餐厅,B0FFM13ZYY,江苏省,南京市,玄武区
鸭得堡老鸭汤鸭血粉丝(羲和广场店),新街口街道中山路288号28羲和商业广场,118.785225,32.054375,13057600171,餐饮服务;餐饮相关场所;餐饮相关,B0K30YORKT,江苏省,南京市,玄武区
独一味·齐齐哈尔烤肉(羲和广场店),珠江路地铁站3号口步行360米,118.785175,32.054440,17368483377,餐饮服务;中餐厅;中餐厅,B0K3N1NBQS,江苏省,南京市,玄武区
玛马艾·咖喱饭&糖水,汉口路75号,118.777185,32.053960,13951994429,餐饮服务;餐饮相关场所;餐饮相关,B0LD67EUSY,江苏省,南京市,鼓楼区
箪食记(汉口路店),汉口路75-2号,118.777185,32.053960,13951883009;15651837225,餐饮服务;中餐厅;中餐厅,B0FFJ4JSZC,江苏省,南京市,鼓楼区
福·烧鸟酒场(陶谷新村店),陶谷新村与平仓巷交叉口西100米,118.777175,32.053960,18351838364,餐饮服务;外国餐厅;日本料理,B0J2MCYRQ7,江苏省,南京市,鼓楼区
豆菜桥面条店(豆菜桥店),豆菜桥4-8号,118.780144,32.048035,13914754043,餐饮服务;中餐厅;中餐厅,B00190B5EA,江苏省,南京市,鼓楼区
金友记牛肉锅贴店(豆菜桥店),华侨路街道豆菜桥4号,118.780030,32.048059,13814027699,餐饮服务;中餐厅;清真菜馆,B0L2USDWYH,江苏省,南京市,鼓楼区
金友记特色凉皮凉面,豆菜桥4号,118.780030,32.048059,13814027699,餐饮服务;中餐厅;中餐厅,B001909HHK,江苏省,南京市,鼓楼区
水西门鸭子店(干河沿前街店),豆菜桥4-8号,118.780116,32.048038,13951733831,餐饮服务;餐饮相关场所;餐饮相关,B0FFFA08R4,江苏省,南京市,鼓楼区
粥世佳(丹凤街店),丹凤街吉兆花园4号105,118.786207,32.052334,15651713184;18795964166,餐饮服务;餐饮相关场所;餐饮相关,B0I16HWUEE,江苏省,南京市,玄武区
小苏州(珠江路店),同仁西街与珠江路交叉口西南20米,118.785625,32.049975,025-52777798,餐饮服务;中餐厅;中餐厅,B0LKJL2HCD,江苏省,南京市,玄武区
南台香饭堂(羲和商业广场店),中山路286号(近漫咖啡和酵墅),118.785477,32.054273,15305179579,餐饮服务;中餐厅;中餐厅,B0JRDSQHJT,江苏省,南京市,玄武区
十里徐记衢州鸭头(丹凤街店),吉兆花园4号楼102室,118.786287,32.052312,18651642720,餐饮服务;餐饮相关场所;餐饮相关,B0KDH7FRTD,江苏省,南京市,玄武区
新睿小馆(豆菜桥小区店),华侨路豆菜桥17-1号,118.780206,32.047884,13182899097,餐饮服务;中餐厅;江苏菜,B0FFLM6KRK,江苏省,南京市,鼓楼区
